Delito,Condenado,En espera de Deportacion, En investigacion,En juicio,Extraditado,Repatriacion,Confidencialidad Estatal
Narcotrafico,6401,43,3447,849,11,2,155
Amenazas,11,0,29,6,0,1,0
Delitos sexuales,407,3,118,52,0,0,4
Extorsion,53,0,45,18,0,0,1
Homicidio,816,2,244,92,2,0,11
Lavado de Activos,63,0,48,31,0,0,8
Robo,1518,43,1172,380,2,0,25
Secuestro,251,0,66,36,0,0,0
Terrorismo,19,0,32,7,0,0,1
Trata de personas,14,2,44,12,0,0,0
Violencia de Genero,49,1,17,1,0,0,4
Falsedad en Documento,29,2,52,17,0,0,1
Lesiones Personales,114,2,75,13,0,0,5
Porte Ilegal de Armas,237,1,137,46,1,0,6
Violencia de genero,49,1,17,1,0,0,4
Crimen Organizado,173,1,116,67,0,0,5 